name,family,total_seeded_2018,rate_2018,rate_2019,rate_2020,rate_2021
Agrostis capillaris,Poaceae,160,0,2,1,17
Alopecurus pratensis,Poaceae,56,0,4,2,2
Anthoxanthum odoratum,Poaceae,158,0,18,33,31
Arrhenatherum elatius,Poaceae,144,16,41,46,44
Brachypodium pinnatum,Poaceae,74,0,0,9,51
Briza media,Poaceae,158,0,0,27,46
Bromus erectus,Poaceae,144,11,40,49,47
Cynosurus cristatus,Poaceae,45,0,2,13,22
Dactylis glomerata,Poaceae,58,3,43,47,59
Festuca ovina,Poaceae,73,0,36,34,22
Festuca pratensis,Poaceae,130,0,44,46,35
Festuca rubra,Poaceae,159,1,40,36,28.999999999999996
Helictotrichon pubescens,Poaceae,72,0,3,28.999999999999996,43
Holcus lanatus,Poaceae,86,0,31,36,28.999999999999996
Koeleria pyramidata,Poaceae,71,0,1,15,38
Phleum pratense,Poaceae,128,0,21,11,17
Poa angustifolia,Poaceae,74,0,19,23,15
Poa compressa,Poaceae,51,0,37,20,0
Poa pratensis,Poaceae,47,0,9,11,34
Trisetum flavescens,Poaceae,58,2,45,53,56.99999999999999
Anthyllis vulneraria,Fabaceae,61,33,49,61,33
Hippocrepis comosa,Fabaceae,61,2,0,8,2
Lathyrus pratensis,Fabaceae,86,1,9,21,36
Lotus corniculatus,Fabaceae,148,36,49,45,34
Medicago falcata,Fabaceae,62,2,35,52,56.00000000000001
Medicago lupulina,Fabaceae,148,9,48,69,13
Onobrychis viciifolia,Fabaceae,61,56.00000000000001,70,52,23
Trifolium montanum,Fabaceae,63,0,0,0,0
Trifolium pratense,Fabaceae,86,38,43,38,28.999999999999996
Vicia cracca,Fabaceae,88,14.000000000000002,17,28.000000000000004,17
Achillea millefolium,Asteraceae,85,34,49,57.99999999999999,48
Agrimonia eupatoria,Rosaceae,36,0,22,31,44
Ajuga reptans,Lamiaceae,34,3,12,6,12
Anthericum ramosum,Asparagaceae,38,0,0,0,0
Arabis hirsuta,Brassicaceae,38,0,21,0,0
Asperula cynanchica,Rubiaceae,36,0,25,17,6
Buphthalmum salicifolium,Asteraceae,35,0,31,49,26
Campanula glomerata,Campanulaceae,71,0,0,0,0
Campanula patula,Campanulaceae,32,0,0,50,12
Campanula rapunculoides,Campanulaceae,35,0,3,6,0
Campanula rotundifolia,Campanulaceae,36,0,0,11,0
Carex flacca,Cyperaceae,70,0,0,0,0
Carlina vulgaris,Asteraceae,35,0,0,0,31
Centaurea jacea,Asteraceae,36,44,64,78,53
Centaurea scabiosa,Asteraceae,85,25,45,42,36
Centaurea stoebe,Asteraceae,38,87,92,89,76
Cerastium fontanum ssp vulgare,Caryophyllaceae,35,0,54,49,23
Cichorium intybus,Asteraceae,49,47,67,47,49
Cirsium oleraceum,Asteraceae,36,0,3,0,8
Clinopodium vulgare,Lamiaceae,35,6,37,40,51
Crepis biennis,Asteraceae,50,24,48,48,36
Daucus carota,Apiaceae,48,42,62,60,40
Dianthus carthusianorum,Caryophyllaceae,38,0,34,63,66
Echium vulgare,Boraginaceae,34,94,97,97,88
Filipendula vulgaris,Rosaceae,36,0,6,6,19
Galium mollugo,Rubiaceae,35,40,43,51,54
Galium verum,Rubiaceae,36,14.000000000000002,42,44,42
Geranium pratense,Geraniaceae,34,0,12,32,59
Helianthemum nummularium,Cistaceae,33,0,0,0,0
Hypericum perforatum,Hypericaceae,35,0,3,3,28.999999999999996
Hypochaeris radicata,Asteraceae,72,44,50,49,31
Inula salicina,Asteraceae,37,0,0,0,0
Knautia arvensis,Caprifoliaceae,70,13,40,60,61
Leontodon hispidus,Asteraceae,35,9,37,46,28.999999999999996
Leucanthemum vulgare,Asteraceae,73,18,48,62,30
Origanum vulgare,Lamiaceae,69,0,28.999999999999996,42,56.99999999999999
Pastinaca sativa,Apiaceae,35,0,60,60,60
Peucedanum oreoselinum,Apiaceae,34,0,0,0,0
Pimpinella major,Apiaceae,34,0,0,3,26
Pimpinella saxifraga,Apiaceae,35,0,0,6,3
Plantago lanceolata,Plantaginaceae,51,45,35,55.00000000000001,63
Plantago media,Plantaginaceae,35,0,14.000000000000002,26,17
Potentilla recta,Rosaceae,36,0,0,50,50
Prunella grandiflora,Lamiaceae,35,0,0,0,6
Prunella vulgaris,Lamiaceae,35,0,20,34,49
Ranunculus acris,Ranunculaceae,34,0,0,28.999999999999996,24
Ranunculus bulbosus,Ranunculaceae,72,1,26,21,0
Rhinanthus alectorolophus,Orobanchaceae,145,0,41,37,28.000000000000004
Rhinanthus minor,Orobanchaceae,143,0,38,14.000000000000002,0
Rumex acetosa,Polygonaceae,34,26,53,56.00000000000001,35
Salvia pratensis,Lamiaceae,82,48,73,77,55.00000000000001
Sanguisorba minor,Rosaceae,70,43,93,90,86
Sanguisorba officinalis,Rosaceae,51,16,8,14.000000000000002,25
Scabiosa columbaria,Caprifoliaceae,36,0,0,17,31
Sedum acre,Crassulaceae,36,3,47,57.99999999999999,11
Silaum silaus,Apiaceae,36,0,0,11,3
Silene flos-cuculi,Caryophyllaceae,33,0,0,9,0
Silene latifolia ssp alba,Caryophyllaceae,34,35,47,44,44
Silene vulgaris,Caryophyllaceae,36,64,97,94,86
Thymus praecox,Lamiaceae,37,5,35,51,41
Tragopogon pratensis,Asteraceae,32,56.00000000000001,78,28.000000000000004,16
Verbascum lychnitis,Scrophulariaceae,34,0,35,35,28.999999999999996
Veronica chamaedrys,Plantaginaceae,45,0,24,28.999999999999996,47
